eval_id,eval_name,eval_dataset,eval_aug,eval_method,eval_K_fold,pretrain_id,pretrain_name,pretrain_dataset,pretrain_method,pretrain_aug,accuracies,backbone,K
bhqwxpu3,__finetune__mirabest__mixed__byol_hulk_aug_minmax_model_resnet50__K1__as_is__info__,mirabest,mixed,finetune,finetune,h86uf9vr,byol_hulk_aug_minmax_model_resnet50,hulk,byol,minmax,"[95.19231414794922, 96.15384674072266, 96.15384674072266, 97.1153793334961, 94.23077392578125]",resnet50,1
rub5xips,__finetune__mirabest__mixed__byol_hulk_aug_mixed_model_resnet18__K1__as_is__info__,mirabest,mixed,finetune,finetune,wgoatix7,byol_hulk_aug_mixed_model_resnet18,hulk,byol,mixed,"[90.3846206665039, 92.30769348144531, 92.30769348144531, 91.34616088867188, 90.3846206665039]",resnet18,1
x2dhixyo,__finetune__mirabest__minmax__swav-banner-mixed-resnet18-prot300-lr12-batch1024__K1__as_is__info__,mirabest,minmax,finetune,finetune,t2dojrsg,swav-banner-mixed-resnet18-prot300-lr12-batch1024,banner,swav,mixed,"[92.30769348144531, 90.3846206665039, 94.23077392578125, 91.34616088867188, 92.30769348144531]",resnet18,1
vp2kvrbk,__finetune__mirabest__minmax____pretrain__banner__dino__resnet18__e600__p256____K1__as_is__info__,mirabest,minmax,finetune,finetune,r55v8bjo,__pretrain__banner__dino__resnet18__e600__p256__,banner,dino,mixed,"[92.30769348144531, 92.30769348144531, 89.42308044433594, 89.42308044433594, 93.26923370361328]",resnet18,1
u06f0qyf,__finetune__mirabest__minmax__byol_banner_aug_mixed_model_resnet18__K1__as_is__info__,mirabest,minmax,finetune,finetune,jymmsi6s,byol_banner_aug_mixed_model_resnet18,banner,byol,mixed,"[93.26923370361328, 93.26923370361328, 93.26923370361328, 93.26923370361328, 94.23077392578125]",resnet18,1
tgo3k8ue,__finetune__mirabest__minmax__simclr_banner_aug_mixed_model_resnet50__K1__as_is__info__,mirabest,minmax,finetune,finetune,u4crvqfs,simclr_banner_aug_mixed_model_resnet50,banner,simclr,mixed,"[92.30769348144531, 93.26923370361328, 92.30769348144531, 92.30769348144531, 92.30769348144531]",resnet50,1
qxpps62h,__finetune__mirabest__minmax____pretrain__banner__dino__mixed__vittiny__e600__p256__lr001__K1__as_is__info__,mirabest,minmax,finetune,finetune,ef8jdr9u,__pretrain__banner__dino__mixed__vittiny__e600__p256__lr001,banner,dino,mixed,"[70.19230651855469, 66.34615325927734, 67.30769348144531, 68.26922607421875, 70.19230651855469]",vit_tiny,1
poshp8gy,__finetune__mirabest__minmax____pretrain__banner__all4one__resnet18__600__512____K1__as_is__info__,mirabest,minmax,finetune,finetune,2h5n923y,__pretrain__banner__all4one__resnet18__600__512__,banner,all4one,mixed,"[93.26923370361328, 93.26923370361328, 92.30769348144531, 95.19231414794922, 94.23077392578125]",resnet18,1
p7ktew8u,__finetune__mirabest__minmax__byol_banner_aug_mixed_model_resnet50_lr02__K1__as_is__info__,mirabest,minmax,finetune,finetune,x21qga53,byol_banner_aug_mixed_model_resnet50_lr02_600epcs,banner,byol,mixed,"[95.19231414794922, 92.30769348144531, 90.3846206665039, 92.30769348144531, 92.30769348144531]",resnet50,1
nq88qfja,__finetune__mirabest__minmax__byol_hulk_aug_minmax_model_resnet18__K1__as_is__info__,mirabest,minmax,finetune,finetune,uja9qvb7,byol_hulk_aug_minmax_model_resnet18,hulk,byol,minmax,"[92.30769348144531, 91.34616088867188, 91.34616088867188, 92.30769348144531, 93.26923370361328]",resnet18,1
kmd5uwlg,__finetune__mirabest__minmax____pretrain__banner__dino__mixed__vittiny__e600__p512__lr001__K1__as_is__info__,mirabest,minmax,finetune,finetune,5mn08b62,__pretrain__banner__dino__mixed__vittiny__e600__p512__lr001,banner,dino,mixed,"[70.19230651855469, 75.0, 69.23076629638672, 72.1153793334961, 68.26922607421875]",vit_tiny,1
jjodpk8e,__finetune__mirabest__minmax__byol_banner_aug_minmax_model_resnet50__K1__as_is__info__,mirabest,minmax,finetune,finetune,xtulgzz6,byol_banner_aug_minmax_model_resnet50,banner,byol,minmax,"[94.23077392578125, 98.0769271850586, 98.0769271850586, 95.19231414794922, 91.34616088867188]",resnet50,1
dfokpm3h,__finetune__mirabest__minmax__wmse-banner-mixed-resnet18-singlegpu__K1__as_is__info__,mirabest,minmax,finetune,finetune,j9zyrugp,wmse-banner-mixed-resnet18-singlegpu,banner,wmse,mixed,"[94.23077392578125, 95.19231414794922, 98.0769271850586, 96.15384674072266, 94.23077392578125]",resnet18,1
cgvtbzx5,__finetune__mirabest__minmax__byol_hulk_aug_mixed_model_resnet50__K1__as_is__info__,mirabest,minmax,finetune,finetune,nlmcibmc,byol_hulk_aug_mixed_model_resnet50,hulk,byol,mixed,"[90.3846206665039, 92.30769348144531, 93.26923370361328, 91.34616088867188, 91.34616088867188]",resnet50,1
a04qeda8,__finetune__mirabest__minmax__byol_hulk_aug_minmax_model_resnet50__K1__as_is__info__,mirabest,minmax,finetune,finetune,h86uf9vr,byol_hulk_aug_minmax_model_resnet50,hulk,byol,minmax,"[94.23077392578125, 96.15384674072266, 96.15384674072266, 95.19231414794922, 94.23077392578125]",resnet50,1
5fx0njas,__finetune__mirabest__minmax__byol_hulk_aug_mixed_model_resnet18__K1__as_is__info__,mirabest,minmax,finetune,finetune,wgoatix7,byol_hulk_aug_mixed_model_resnet18,hulk,byol,mixed,"[93.26923370361328, 91.34616088867188, 93.26923370361328, 92.30769348144531, 92.30769348144531]",resnet18,1
3r2k5m48,__finetune__mirabest__minmax____pretrain__banner__dino__mixed__vittiny__e600__p256____K1__as_is__info__,mirabest,minmax,finetune,finetune,6jz72oq3,__pretrain__banner__dino__mixed__vittiny__e600__p256__,banner,dino,mixed,"[52.88461685180664, 52.88461685180664, 52.88461685180664, 52.88461685180664, 52.88461685180664]",vit_tiny,1
t1etfbin,__finetune__mirabest__minmax__simclr_banner_aug_mixed_model_resnet18__K1__as_is__info__,mirabest,minmax,finetune,finetune,hljzzxvp,simclr_banner_aug_mixed_model_resnet18,banner,simclr,mixed,"[92.30769348144531, 95.19231414794922, 93.26923370361328, 93.26923370361328, 93.26923370361328]",resnet18,1
e9d8ocod,__finetune__mirabest__minmax__simclr_banner_aug_minmax_model_resnet50__K1__as_is__info__,mirabest,minmax,finetune,finetune,4j8zhz46,simclr_banner_aug_minmax_model_resnet50,banner,simclr,minmax,"[94.23077392578125, 95.19231414794922, 92.30769348144531, 95.19231414794922, 97.1153793334961]",resnet50,1
kbnt3dtz,__finetune__mirabest__minmax__simclr_banner_aug_minmax_model_resnet18__K1__as_is__info__,mirabest,minmax,finetune,finetune,uiaz3umx,simclr_banner_aug_minmax_model_resnet18,banner,simclr,minmax,"[94.23077392578125, 94.23077392578125, 91.34616088867188, 94.23077392578125, 96.15384674072266]",resnet18,1
r1yp3oyr,__finetune__rgz__mixed__swav-banner-mixed-resnet18-prot300-lr12-batch1024__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,t2dojrsg,swav-banner-mixed-resnet18-prot300-lr12-batch1024,banner,swav,mixed,"[16.788888931274414, 16.755556106567383, 17.311111450195312]",resnet18,3
mtmzkb6z,__finetune__rgz__mixed__wmse-banner-mixed-resnet18-singlegpu__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,j9zyrugp,wmse-banner-mixed-resnet18-singlegpu,banner,wmse,mixed,"[19.5222225189209, 17.633333206176758, 16.933334350585938]",resnet18,3
5vjw414w,__finetune__rgz__mixed__simclr_banner_aug_mixed_model_resnet18__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,hljzzxvp,simclr_banner_aug_mixed_model_resnet18,banner,simclr,mixed,"[16.22222328186035, 16.766666412353516, 17.077777862548828]",resnet18,3
hl9vmhne,__finetune__rgz__mixed__simclr_banner_aug_minmax_model_resnet18__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,uiaz3umx,simclr_banner_aug_minmax_model_resnet18,banner,simclr,minmax,"[16.633333206176758, 12.822222709655762, 17.122222900390625]",resnet18,3
