eval_data,eval_aug,accuracy_mean,accuracy_std,eval_method,pretrain_method,K_fold,balancing_strategy,datalist,run_id,run_name
robin,minmax,77.15151748657226,4.407335521838103,linear,byol_banner_aug_minmax_model_resnet18,K10,balanced_fixed,info,tlt8pci9,__linear__robin__minmax__byol_banner_aug_minmax_model_resnet18__K10__balanced_fixed__info__
robin,mixed,77.2467544555664,5.391764691014131,linear,byol_banner_aug_minmax_model_resnet18,K10,balanced_fixed,info,5joi5i34,__linear__robin__mixed__byol_banner_aug_minmax_model_resnet18__K10__balanced_fixed__info__
